url,namn,annat_namn,kategori,muggnummer,tillverkad,tema,varumarke,designer,vikt,volym,material,bildfil
https://www.mukify.com/sv/arabia-muminmugg-vanner-for-alltid-2025,Vänner för alltid,,Muminmugg,164,2025,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-vanner-for-alltid-2025.jpg
https://www.mukify.com/sv/arabia-muminmugg-familjemys-2025,Familjemys,,Muminmugg,163,2025–,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-familjemys-2025.jpg
https://www.mukify.com/sv/arabia-muminmugg-antligen-hemma-2025,Äntligen hemma,Home at Last,Muminmugg,162,2025,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-antligen-hemma-2025.jpg
https://www.mukify.com/sv/arabia-muminmugg-hem-2025,Hem,,Muminmugg,161,2025,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-hem-2025.jpg
https://www.mukify.com/sv/arabia-muminmugg-abc-w-0-4l-2024,"ABC W, 0,4l",,Muminmugg,160,2024–,Bokstavsmuggar,Arabia,Kaj Franck,350 g,400 ml,Vitroporslin,mug_images/arabia-muminmugg-abc-w-0-4l-2024.jpg
https://www.mukify.com/sv/arabia-muminmugg-abc-t-0-4l-2024,"ABC T, 0,4l",,Muminmugg,159,2024–,Bokstavsmuggar,Arabia,Kaj Franck,350 g,400 ml,Vitroporslin,mug_images/arabia-muminmugg-abc-t-0-4l-2024.jpg
https://www.mukify.com/sv/arabia-muminmugg-abc-p-0-4l-2024,"ABC P, 0,4l",,Muminmugg,158,2024–,Bokstavsmuggar,Arabia,Kaj Franck,350 g,400 ml,Vitroporslin,mug_images/arabia-muminmugg-abc-p-0-4l-2024.jpg
https://www.mukify.com/sv/arabia-muminmugg-abc-k-0-4l-2024,"ABC K, 0,4l",,Muminmugg,157,2024–,Bokstavsmuggar,Arabia,Kaj Franck,350 g,400 ml,Vitroporslin,mug_images/arabia-muminmugg-abc-k-0-4l-2024.jpg
https://www.mukify.com/sv/arabia-muminmugg-abc-j-0-4l-2024,"ABC J, 0,4l",,Muminmugg,156,2024–,Bokstavsmuggar,Arabia,Kaj Franck,350 g,400 ml,Vitroporslin,mug_images/arabia-muminmugg-abc-j-0-4l-2024.jpg
https://www.mukify.com/sv/arabia-muminmugg-abc-c-0-4l-2024,"ABC C, 0,4l",,Muminmugg,155,2024–,Bokstavsmuggar,Arabia,Kaj Franck,350 g,400 ml,Vitroporslin,mug_images/arabia-muminmugg-abc-c-0-4l-2024.jpg
